char	procPL	procEN
z	0.0467033485777242	0.00374797151010025
w	0.0453821454557995	0.00614206584113828
a	0.0938349580190273	0.0884069393293789
ą	0.0128604468835237	0
b	0.0192347282582542	0.0179127342869839
c	0.040976933051655	0.0458262615844882
ć	0.00119430494350195	0
d	0.0219375512788622	0.0302101566483743
e	0.0764754117814747	0.104256960217896
ę	0.00646036626662871	0
f	0.00443074939225902	0.0107056420261906
g	0.0132085891348409	0.0208637080728914
h	0.0115071832039918	0.0285111648349896
i	0.0894048970436494	0.0890617267870536
j	0.0195427128581718	0.00140305269178339
k	0.0316552439729758	0.0071583597707092
ł	0.0210784070112047	0
m	0.0387299075698714	0.0313128399921851
n	0.0683210154791519	0.0703267424855608
ń	0.00280021761841065	0
o	0.0796494069845859	0.0756204199765995
ó	0.00353859389606321	0
p	0.0297905848960287	0.0346279783858116
q	0.000000295035806201076	0.00165424652703479
r	0.0440409454625657	0.0713199992380011
s	0.0322904232819704	0.061820264830072
ś	0.00969041827291809	0
t	0.0273512288503582	0.0677075926548619
u	0.0271102501602044	0.038699356421015
v	0.00000708085934882582	0.00893886774932539
x	0.0000172104220283961	0.00307103292056914
y	0.0496925202391285	0.0228958529093961
ź	0.000715887992868788	0
ż	0.00647531474747623	0
l	0.0238907210976696	0.0577980623075897
