Value,Count,Proc
1,0,0.0
2,1,3.6901962188e-07
3,1,3.6901962188e-07
4,1,3.6901962188e-07
5,0,0.0
6,0,0.0
7,3,1.10705886564e-06
8,3,1.10705886564e-06
9,5,1.8450981094e-06
10,6,2.21411773128e-06
11,4,1.47607848752e-06
12,4,1.47607848752e-06
13,4,1.47607848752e-06
14,5,1.8450981094e-06
15,10,3.6901962188e-06
16,12,4.42823546256e-06
17,9,3.32117659692e-06
18,15,5.53529432821e-06
19,20,7.38039243761e-06
20,27,9.96352979077e-06
21,28,1.03325494126e-05
22,28,1.03325494126e-05
23,44,1.62368633627e-05
24,47,1.73439222284e-05
25,49,1.80819614721e-05
26,66,2.43552950441e-05
27,79,2.91525501285e-05
28,75,2.7676471641e-05
29,80,2.95215697504e-05
30,84,3.09976482379e-05
31,107,3.94850995412e-05
32,114,4.20682368944e-05
33,117,4.317529576e-05
34,133,4.90796097101e-05
35,138,5.09247078195e-05
36,165,6.08882376103e-05
37,184,6.7899610426e-05
38,221,8.15533364356e-05
39,216,7.97082383262e-05
40,231,8.52435326544e-05
41,272,0.000100373337151
42,279,0.000102956474505
43,351,0.00012952588728
44,357,0.000131740005011
45,422,0.000155726280434
46,429,0.000158309417787
47,461,0.000170118045687
48,508,0.000187461967915
49,548,0.00020222275279
50,577,0.000212924321825
51,616,0.000227316087078
52,634,0.000233958440272
53,744,0.000274550598679
54,761,0.000280823932251
55,779,0.000287466285445
56,873,0.000322154129902
57,968,0.00035721099398
58,957,0.000353151778139
59,1042,0.000384518445999
60,1118,0.000412563937262
61,1174,0.000433229036088
62,1235,0.000455739233022
63,1265,0.000466809821679
64,1396,0.000515151392145
65,1427,0.000526591000423
66,1524,0.000562385903746
67,1635,0.000603347081774
68,1716,0.000633237671147
69,1761,0.000649843554131
70,1815,0.000669770613713
71,2028,0.000748371793173
72,2090,0.00077125100973
73,2173,0.000801879638346
74,2233,0.000824020815659
75,2412,0.000890075327975
76,2527,0.000932512584492
77,2608,0.000962403173864
78,2721,0.00100410239114
79,2903,0.00107126396232
80,2971,0.00109635729661
81,3186,0.00117569651531
82,3277,0.0012092773009
83,3464,0.00127828397019
84,3426,0.00126426122456
85,3708,0.00136832475793
86,3801,0.00140264358277
87,3924,0.00144803299626
88,4082,0.00150633809652
89,4258,0.00157128554997
90,4435,0.00163660202304
91,4583,0.00169121692708
92,4630,0.00170856084931
93,4897,0.00180708908835
94,5101,0.00188236909121
95,5256,0.0019395671326
96,5437,0.00200635968416
97,5512,0.0020340361558
98,5656,0.00208717498136
99,5844,0.00215655067027
100,6019,0.0022211291041
101,6165,0.00227500596889
102,6379,0.00235397616797
103,6448,0.00237943852188
104,6867,0.00253405774345
105,6958,0.00256763852904
106,7150,0.00263849029644
107,7393,0.00272816206456
108,7583,0.00279827579272
109,7758,0.00286285422655
110,7988,0.00294772873958
111,8180,0.00301858050698
112,8407,0.00310234796115
113,8583,0.0031672954146
114,8785,0.00324183737822
115,9067,0.00334590091159
116,9186,0.00338981424659
117,9297,0.00343077542462
118,9703,0.00358059739111
119,9900,0.00365329425662
120,10166,0.00375145347604
121,10202,0.00376473818242
122,10425,0.0038470295581
123,10878,0.00401419544681
124,10932,0.0040341225064
125,11194,0.00413080564733
126,11382,0.00420018133624
127,11528,0.00425405820104
128,11796,0.0043529554597
129,11960,0.00441347467769
130,12127,0.00447510095454
131,12308,0.0045418935061
132,12836,0.00473673586646
133,12948,0.00477806606411
134,12990,0.00479356488823
135,13337,0.00492161469702
136,13339,0.00492235273626
137,13673,0.00504560528997
138,13669,0.00504412921148
139,14083,0.00519690333494
140,14046,0.00518324960893
141,14497,0.0053496774584
142,14683,0.00541831510807
143,14780,0.00545411001139
144,15294,0.00564378609704
145,15255,0.00562939433178
146,15366,0.00567035550981
147,15595,0.00575486100322
148,15749,0.00581169002499
149,15928,0.00587774453731
150,16292,0.00601206767967
151,16483,0.00608255042745
152,16658,0.00614712886128
153,16745,0.00617923356839
154,16610,0.00612941591943
155,17106,0.00631244965189
156,17265,0.00637112377176
157,17231,0.00635857710462
158,17565,0.00648182965833
159,17477,0.0064493559316
160,17797,0.0065674422106
161,17856,0.0065892143683
162,18152,0.00669844417637
163,18131,0.00669069476431
164,18468,0.00681505437689
165,18082,0.00667261280284
166,18590,0.00686007477076
167,18780,0.00693018849891
168,18731,0.00691210653744
169,18888,0.00697004261808
170,19204,0.00708665281859
171,19055,0.00703166889493
172,19136,0.0070615594843
173,19159,0.00707004693561
174,19212,0.00708960497557
175,19260,0.00710731791742
176,19375,0.00714975517393
177,19338,0.00713610144792
178,19463,0.00718222890066
179,19435,0.00717189635124
180,19757,0.00729072066949
181,19537,0.00720953635268
182,19694,0.00726747243331
183,19883,0.00733721714185
184,19638,0.00724680733449
185,19757,0.00729072066949
186,19712,0.00727411478651
187,19710,0.00727337674726
188,19801,0.00730695753285
189,19763,0.00729293478722
190,19781,0.00729957714042
191,19434,0.00717152733162
192,19851,0.00732540851395
193,19571,0.00722208301982
194,19500,0.00719588262667
195,19785,0.0073010532189
196,19512,0.00720031086213
197,19357,0.00714311282074
198,19525,0.00720510811721
199,19492,0.00719293046969
200,19194,0.00708296262237
201,19332,0.00713388733019
202,19162,0.00707115399447
203,19088,0.00704384654245
204,19405,0.00716082576259
205,18885,0.00696893555921
206,18648,0.00688147790882
207,18855,0.00695786497055
208,18554,0.00684679006437
209,18385,0.00678442574827
210,18452,0.00680915006294
211,18102,0.00667999319528
212,18091,0.00667593397944
213,17558,0.00647924652098
214,17769,0.00655710966119
215,17630,0.00650581593375
216,17463,0.0064441896569
217,17438,0.00643496416635
218,17037,0.00628698729798
219,16927,0.00624639513957
220,16872,0.00622609906037
221,16602,0.00612646376246
222,16629,0.00613642729225
223,16254,0.00599804493404
224,16246,0.00599509277707
225,15896,0.00586593590941
226,15182,0.00560245589939
227,15456,0.00570356727578
228,15075,0.00556297079985
229,15208,0.00561205040956
230,14840,0.0054762511887
231,14657,0.0054087205979
232,14472,0.00534045196785
233,14141,0.00521830647301
234,14111,0.00520723588435
235,13798,0.00509173274271
236,13574,0.0050090723474
237,13311,0.00491202018685
238,12858,0.00474485429814
239,12956,0.00478101822108
240,12569,0.00463820762741
241,12464,0.00459946056712
