Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
0,3,3,4,0,0,0,0,0,0,0,0,0,0,0
0,5,4,1,2,0,0,0,0,0,0,0,0,0,0
0,0,7,2,0,0,0,0,0,0,0,0,0,0,0
0,5,4,5,1,0,0,0,0,0,0,0,0,0,0
0,3,8,8,1,0,0,0,0,0,0,0,0,0,0
0,2,14,8,3,0,0,0,0,0,0,0,0,0,0
0,1,10,13,4,0,0,0,0,0,0,0,0,0,0
0,1,10,11,5,1,0,0,0,0,0,0,0,0,0
0,4,15,14,8,3,0,0,0,0,0,0,0,0,0
0,4,18,14,6,5,0,0,0,0,0,0,0,0,0
0,2,15,19,10,3,0,0,0,0,0,0,0,0,0
0,5,16,26,15,4,0,0,0,0,0,0,0,0,0
0,4,22,31,17,5,0,0,0,0,0,0,0,0,0
0,4,19,34,12,6,0,0,0,0,0,0,0,0,0
0,5,14,41,16,4,0,0,0,0,0,0,0,0,0
0,3,20,29,22,8,2,0,0,0,0,0,0,0,0
0,5,27,32,29,12,1,1,0,0,0,0,0,0,0
0,2,19,44,40,8,0,1,0,0,0,0,0,0,0
0,2,20,45,35,15,0,0,0,0,0,0,0,0,0
0,7,27,48,39,10,2,0,0,0,0,0,0,0,0
0,2,28,48,34,23,3,0,0,0,0,0,0,0,0
0,1,25,46,59,26,7,1,0,0,0,0,0,0,0
0,6,31,50,47,36,11,3,0,0,0,0,0,0,0
0,3,32,71,66,35,8,6,0,0,0,0,0,0,0
0,2,25,74,71,25,13,6,0,0,0,0,0,0,0
0,3,33,80,72,31,10,2,0,0,0,0,0,0,0
0,0,30,73,101,48,17,3,0,0,0,0,0,0,0
0,5,31,82,94,41,21,5,0,0,0,0,0,0,0
0,2,37,90,132,65,19,4,2,0,0,0,0,0,0
0,2,38,102,116,66,25,6,2,0,0,0,0,0,0
0,2,34,123,120,98,36,8,1,0,0,0,0,0,0
0,3,30,100,162,88,35,10,1,0,0,0,0,0,0
0,3,32,109,168,96,39,11,3,0,0,0,0,0,0
0,0,46,118,150,122,60,11,1,0,0,0,0,0,0
0,1,32,116,183,120,74,19,3,0,0,0,0,0,0
0,1,36,122,190,127,75,19,7,0,0,0,0,0,0
0,1,37,130,189,150,75,25,9,0,0,0,0,0,0
0,1,32,121,213,158,68,29,11,1,0,0,0,0,0
0,2,33,150,243,183,95,25,10,3,0,0,0,0,0
0,0,37,130,260,188,101,35,8,2,0,0,0,0,0
0,3,25,143,269,191,109,34,5,0,0,0,0,0,0
0,1,36,142,281,213,138,49,12,1,0,0,0,0,0
0,0,32,138,320,248,143,66,17,4,0,0,0,0,0
0,1,33,129,306,269,149,56,12,2,0,0,0,0,0
0,1,26,152,306,279,187,67,23,1,0,0,0,0,0
0,0,29,140,338,320,193,78,19,1,0,0,0,0,0
0,0,29,150,358,311,227,79,19,1,0,0,0,0,0
0,1,31,151,353,351,214,107,24,3,0,0,0,0,0
0,0,19,159,364,343,247,101,29,3,0,0,0,0,0
0,0,25,153,414,383,274,109,35,3,0,0,0,0,0
0,0,17,147,388,412,305,116,34,8,0,0,0,0,0
0,0,22,144,395,424,350,139,44,4,2,0,0,0,0
0,0,25,145,403,460,366,172,48,12,4,0,0,0,0
0,0,14,158,412,487,388,185,59,9,4,0,0,0,0
0,0,19,142,383,495,441,203,57,18,3,0,0,0,0
0,0,20,140,418,491,435,225,67,18,1,0,0,0,0
0,0,18,145,447,566,505,251,70,24,2,0,0,0,0
0,0,12,143,431,571,548,260,104,17,4,0,0,0,0
0,0,14,124,438,604,546,320,86,33,8,0,0,0,0
0,0,9,139,439,610,549,335,111,32,8,1,0,0,0
0,0,14,135,462,655,607,362,128,39,9,1,0,0,0
0,0,11,130,474,671,665,371,158,39,8,0,0,0,0
0,0,13,118,473,711,692,391,169,33,8,0,0,0,0
0,0,7,106,461,715,782,416,170,53,10,1,0,0,0
0,0,6,130,468,750,815,467,184,70,12,1,0,0,0
0,0,5,121,455,754,815,516,229,61,13,2,0,0,0
0,0,8,114,511,788,853,558,259,71,22,2,0,0,0
0,0,4,92,446,807,944,597,287,80,17,3,0,0,0
0,0,6,85,457,877,984,648,300,86,18,3,0,0,0
0,0,5,93,444,848,983,650,294,85,20,4,0,0,0
0,0,5,86,451,886,1034,768,328,118,30,2,0,0,0
0,0,3,92,460,869,1056,752,379,143,42,5,0,0,0
0,0,3,77,457,893,1071,792,431,150,40,10,0,0,0
0,0,1,64,456,914,1124,829,466,167,50,11,0,0,0
0,0,1,69,434,981,1171,936,415,195,42,13,1,0,0
